,,AgeGroup,Age,Height,Mass,Gender,Dominance,LegLength,BorgScale,speed,mode,point 0,point 1,point 2,point 3,point 4,point 5,work abs,work prod,direction,CP,ERP,LRP,DP
S01,OC,Young,25,172.5,74.3,M,R,0.89,10.0,C,Overground,0.0,5.5,22.5,41.0,64.5,84.5,0.061,0.185,ccw,2.17,2.622,12.808,3.852
S01,OF,Young,25,172.5,74.3,M,R,0.89,10.0,F,Overground,0.0,6.0,22.0,38.5,62.0,85.5,0.008,0.343,ccw,2.72,3.194,-0.044,3.683
S01,OS,Young,25,172.5,74.3,M,R,0.89,10.0,S,Overground,0.0,5.5,25.5,46.0,65.5,82.5,0.089,0.104,ccw,1.535,2.881,10.307,3.896
S01,T01,Young,25,172.5,74.3,M,R,0.89,10.0,VS,Treadmill,0.0,3.5,31.5,52.0,67.0,82.5,0.116,0.044,cw,-0.061,3.092,6.679,5.93
S01,T02,Young,25,172.5,74.3,M,R,0.89,10.0,VS,Treadmill,0.0,4.5,32.0,49.5,65.5,82.0,0.16,0.016,cw,-0.056,3.48,7.942,5.176
S01,T03,Young,25,172.5,74.3,M,R,0.89,10.0,S,Treadmill,0.0,5.0,27.5,47.5,65.0,81.5,0.165,0.048,ccw,-0.09,3.298,9.639,4.588
S01,T04,Young,25,172.5,74.3,M,R,0.89,10.0,S,Treadmill,0.0,5.5,29.0,47.5,65.0,83.5,0.148,0.071,ccw,0.063,3.199,10.914,4.88
S01,T05,Young,25,172.5,74.3,M,R,0.89,10.0,C,Treadmill,0.0,6.0,28.0,41.0,64.0,83.5,0.087,0.164,ccw,0.111,4.167,15.186,5.277
S01,T06,Young,25,172.5,74.3,M,R,0.89,10.0,F,Treadmill,0.0,6.0,27.5,40.5,63.0,84.0,0.077,0.198,ccw,0.352,3.316,0.032,5.309
S01,T07,Young,25,172.5,74.3,M,R,0.89,10.0,F,Treadmill,0.0,6.0,29.0,42.5,62.5,84.5,0.045,0.287,ccw,0.514,3.602,-0.008,5.31
S01,T08,Young,25,172.5,74.3,M,R,0.89,10.0,VF,Treadmill,0.0,6.0,24.0,39.0,62.0,85.5,0.036,0.353,ccw,0.601,2.994,-0.04,4.76
S02,OC,Young,22,166.8,52.9,F,R,0.865,13.0,C,Overground,0.0,7.0,24.0,41.0,65.0,86.5,0.08,0.219,ccw,1.336,2.179,9.591,2.927
S02,OF,Young,22,166.8,52.9,F,R,0.865,13.0,F,Overground,0.0,7.5,25.5,38.5,62.0,84.5,0.069,0.316,ccw,1.565,2.913,12.203,2.994
S02,OS,Young,22,166.8,52.9,F,R,0.865,13.0,S,Overground,0.0,7.0,33.0,48.0,69.0,87.0,0.123,0.062,ccw,0.979,2.704,8.834,2.557
S02,T01,Young,22,166.8,52.9,F,R,0.865,13.0,VS,Treadmill,0.0,4.0,22.5,57.0,74.5,89.0,0.084,0.136,cw,-0.232,6.756,3.062,2.122
S02,T02,Young,22,166.8,52.9,F,R,0.865,13.0,VS,Treadmill,0.0,5.5,34.5,51.5,71.0,88.0,0.16,0.018,cw,-0.301,4.621,7.223,2.895
S02,T03,Young,22,166.8,52.9,F,R,0.865,13.0,S,Treadmill,0.0,6.0,33.5,49.0,69.5,88.0,0.148,0.074,ccw,0.017,3.771,12.072,3.213
S02,T04,Young,22,166.8,52.9,F,R,0.865,13.0,S,Treadmill,0.0,6.0,32.0,48.5,67.5,87.5,0.161,0.077,ccw,0.034,3.187,12.331,3.275
S02,T05,Young,22,166.8,52.9,F,R,0.865,13.0,C,Treadmill,0.0,7.0,25.5,46.5,65.5,92.0,0.108,0.29,ccw,-1.037,6.024,-1.033,2.975
S02,T06,Young,22,166.8,52.9,F,R,0.865,13.0,F,Treadmill,0.0,6.5,30.5,43.5,64.0,88.0,0.101,0.222,ccw,-0.008,3.235,0.01,3.67
S02,T07,Young,22,166.8,52.9,F,R,0.865,13.0,F,Treadmill,0.0,7.5,31.0,44.0,62.0,90.5,0.095,0.299,ccw,-0.363,4.646,-6.043,3.882
S02,T08,Young,22,166.8,52.9,F,R,0.865,13.0,VF,Treadmill,0.0,7.5,27.0,40.5,61.5,93.0,0.099,0.438,ccw,-0.304,4.062,-6.963,3.943
S03,OC,Young,33,179.3,75.85,M,L,0.94,8.0,C,Overground,0.0,7.0,31.0,49.5,65.5,83.0,0.166,0.084,ccw,1.166,2.786,7.535,3.874
S03,OF,Young,33,179.3,75.85,M,L,0.94,8.0,F,Overground,0.0,7.0,35.5,49.0,64.0,84.0,0.101,0.152,ccw,1.601,4.428,10.684,4.13
S03,OS,Young,33,179.3,75.85,M,L,0.94,8.0,S,Overground,0.0,7.0,31.5,51.5,67.5,83.0,0.208,0.015,cw,0.367,1.87,5.077,3.439
S03,T01,Young,33,179.3,75.85,M,L,0.94,8.0,VS,Treadmill,0.0,6.0,24.5,55.5,72.5,86.0,0.09,0.144,cw,-0.215,3.096,2.989,4.413
S03,T02,Young,33,179.3,75.85,M,L,0.94,8.0,VS,Treadmill,0.0,6.0,32.0,52.5,67.5,83.5,0.131,0.077,cw,-0.01,3.459,5.38,4.757
S03,T03,Young,33,179.3,75.85,M,L,0.94,8.0,S,Treadmill,0.0,5.5,29.5,52.5,67.5,85.5,0.142,0.102,cw,0.066,2.189,5.368,5.28
S03,T04,Young,33,179.3,75.85,M,L,0.94,8.0,S,Treadmill,0.0,6.0,30.5,51.0,67.0,86.0,0.183,0.037,ccw,0.16,2.998,9.568,4.618
S03,T05,Young,33,179.3,75.85,M,L,0.94,8.0,C,Treadmill,0.0,6.0,30.5,50.0,66.5,86.0,0.147,0.038,ccw,0.227,3.028,10.89,4.186
S03,T06,Young,33,179.3,75.85,M,L,0.94,8.0,F,Treadmill,0.0,6.5,31.5,50.0,65.5,86.0,0.18,0.076,ccw,0.072,3.009,11.902,4.634
S03,T07,Young,33,179.3,75.85,M,L,0.94,8.0,F,Treadmill,0.0,5.5,29.5,48.0,64.0,84.5,0.046,0.043,cw,0.632,1.827,10.182,2.596
S03,T08,Young,33,179.3,75.85,M,L,0.94,8.0,VF,Treadmill,0.0,1.0,30.5,49.0,64.5,85.0,0.161,0.163,ccw,0.003,3.215,16.601,4.5
S04,OC,Young,24,184.0,61.05,M,R,0.94,9.0,C,Overground,0.0,5.5,25.5,44.5,63.5,83.0,0.147,0.159,ccw,1.228,2.128,8.997,4.227
S04,OF,Young,24,184.0,61.05,M,R,0.94,9.0,F,Overground,0.0,6.0,23.0,45.5,63.5,83.0,0.166,0.198,ccw,1.353,1.804,8.929,4.421
S04,OS,Young,24,184.0,61.05,M,R,0.94,9.0,S,Overground,0.0,5.5,30.5,46.0,65.0,82.5,0.152,0.061,ccw,0.734,2.724,8.041,4.354
S04,T01,Young,24,184.0,61.05,M,R,0.94,9.0,VS,Treadmill,0.0,5.0,37.0,50.5,69.0,82.5,0.168,0.064,cw,-0.182,2.919,7.159,5.118
S04,T02,Young,24,184.0,61.05,M,R,0.94,9.0,VS,Treadmill,0.0,6.5,35.5,51.0,68.0,83.5,0.184,0.033,cw,-0.127,2.327,7.972,4.979
S04,T03,Young,24,184.0,61.05,M,R,0.94,9.0,S,Treadmill,0.0,6.0,33.0,49.5,66.5,84.5,0.215,0.006,cw,-0.309,2.392,9.35,4.981
S04,T04,Young,24,184.0,61.05,M,R,0.94,9.0,S,Treadmill,0.0,6.0,29.5,45.0,65.0,83.5,0.213,0.051,ccw,-0.281,2.427,7.999,5.017
S04,T05,Young,24,184.0,61.05,M,R,0.94,9.0,C,Treadmill,0.0,6.5,21.5,44.0,64.0,82.5,0.214,0.111,ccw,-0.422,1.824,6.699,4.923
S04,T06,Young,24,184.0,61.05,M,R,0.94,9.0,F,Treadmill,0.0,6.5,22.5,43.5,64.0,83.0,0.193,0.202,ccw,-0.331,1.814,8.474,4.359
S04,T07,Young,24,184.0,61.05,M,R,0.94,9.0,F,Treadmill,0.0,6.5,29.5,42.5,63.0,83.0,0.154,0.297,ccw,-0.017,2.08,15.444,4.273
S04,T08,Young,24,184.0,61.05,M,R,0.94,9.0,VF,Treadmill,0.0,6.0,29.0,42.0,62.0,83.0,0.158,0.279,ccw,-0.015,2.15,16.891,4.514
S05,OC,Young,28,170.9,77.55,M,R,0.858333333333333,14.0,C,Overground,0.0,6.0,25.5,46.0,64.5,84.0,0.126,0.098,ccw,1.597,2.143,8.048,3.831
S05,OF,Young,28,170.9,77.55,M,R,0.855833333333333,14.0,F,Overground,0.0,7.0,30.0,44.5,63.0,84.0,0.088,0.152,ccw,2.028,2.734,12.384,4.422
S05,OS,Young,28,170.9,77.55,M,R,0.858333333333333,14.0,S,Overground,0.0,5.5,24.0,47.5,66.0,83.0,0.12,0.031,ccw,1.012,1.764,7.186,3.714
S05,T01,Young,28,170.9,77.55,M,R,0.855833333333333,14.0,VS,Treadmill,0.0,4.0,31.5,51.5,70.0,83.5,0.122,0.039,cw,-0.0,3.481,7.955,4.769
S05,T02,Young,28,170.9,77.55,M,R,0.858333333333333,14.0,VS,Treadmill,0.0,5.5,31.0,50.0,68.0,84.0,0.162,0.011,cw,-0.077,3.429,8.567,4.607
S05,T03,Young,28,170.9,77.55,M,R,0.855833333333333,14.0,S,Treadmill,0.0,6.0,31.0,49.5,67.0,85.0,0.169,0.018,ccw,-0.039,3.083,9.812,4.213
S05,T04,Young,28,170.9,77.55,M,R,0.858333333333333,14.0,S,Treadmill,0.0,6.0,29.5,47.0,65.0,85.0,0.16,0.046,ccw,-0.007,2.821,10.239,4.417
S05,T05,Young,28,170.9,77.55,M,R,0.855833333333333,14.0,C,Treadmill,0.0,7.0,29.0,44.0,65.0,86.0,0.152,0.194,ccw,0.022,2.888,10.839,3.899
S05,T06,Young,28,170.9,77.55,M,R,0.858333333333333,14.0,F,Treadmill,0.0,7.0,29.0,43.0,63.5,85.0,0.133,0.165,ccw,0.074,2.883,12.406,4.389
S05,T07,Young,28,170.9,77.55,M,R,0.855833333333333,14.0,F,Treadmill,0.0,7.0,29.5,42.5,62.5,85.0,0.114,0.272,ccw,0.203,2.715,15.662,4.146
S05,T08,Young,28,170.9,77.55,M,R,0.856249999999999,14.0,VF,Treadmill,0.0,6.0,28.0,41.0,61.0,84.5,0.059,0.209,ccw,0.137,2.181,0.017,4.078
S06,OC,Young,25,174.2,83.15,M,R,0.91,11.0,C,Overground,0.0,5.5,31.5,47.0,64.0,84.0,0.093,0.142,ccw,1.353,2.993,9.669,3.393
S06,OF,Young,25,174.2,83.15,M,R,0.91,11.0,F,Overground,0.0,6.5,31.5,46.5,63.5,83.0,0.076,0.224,ccw,1.942,3.366,0.047,3.396
S06,OS,Young,25,174.2,83.15,M,R,0.91,11.0,S,Overground,0.0,5.5,24.0,50.0,66.0,83.0,0.115,0.057,ccw,1.093,2.176,6.41,3.442
S06,T01,Young,25,174.2,83.15,M,R,0.91,11.0,VS,Treadmill,0.0,4.5,32.5,52.5,68.0,82.0,0.1,0.073,cw,-0.523,3.019,4.603,4.814
S06,T02,Young,25,174.2,83.15,M,R,0.91,11.0,VS,Treadmill,0.0,5.5,29.5,51.0,65.5,81.0,0.134,0.038,cw,-0.283,2.64,4.868,4.125
S06,T03,Young,25,174.2,83.15,M,R,0.91,11.0,S,Treadmill,0.0,6.0,30.0,50.5,65.5,83.0,0.166,0.005,ccw,-0.2,2.69,6.402,3.724
S06,T04,Young,25,174.2,83.15,M,R,0.91,11.0,S,Treadmill,0.0,6.0,31.5,49.5,65.5,84.0,0.167,0.059,ccw,-0.195,3.159,7.67,3.61
S06,T05,Young,25,174.2,83.15,M,R,0.91,11.0,C,Treadmill,0.0,6.5,32.5,48.0,65.0,85.0,0.14,0.119,ccw,-0.099,3.299,10.777,3.8
S06,T06,Young,25,174.2,83.15,M,R,0.91,11.0,F,Treadmill,0.0,6.5,31.5,46.0,64.0,84.0,0.121,0.183,ccw,-0.075,3.075,13.435,3.764
S06,T07,Young,25,174.2,83.15,M,R,0.91,11.0,F,Treadmill,0.0,6.5,31.0,45.0,63.0,83.0,0.106,0.213,ccw,0.015,3.033,16.772,3.914
S07,OC,Young,24,157.5,71.75,F,R,0.84,11.0,C,Overground,0.0,7.0,31.0,49.5,65.5,83.0,0.166,0.084,ccw,1.166,2.786,7.535,3.874
S07,OF,Young,24,157.5,71.75,F,R,0.84,11.0,F,Overground,0.0,7.0,35.5,49.0,64.0,84.0,0.101,0.152,ccw,1.601,4.428,10.684,4.13
S07,OS,Young,24,157.5,71.75,F,R,0.84,11.0,S,Overground,0.0,7.0,31.5,51.5,67.5,83.0,0.208,0.015,cw,0.367,1.87,5.077,3.439
S07,T01,Young,24,157.5,71.75,F,R,0.84,11.0,VS,Treadmill,0.0,6.0,24.5,55.5,72.5,86.0,0.09,0.144,cw,-0.215,3.096,2.989,4.413
S07,T02,Young,24,157.5,71.75,F,R,0.84,11.0,VS,Treadmill,0.0,6.0,32.0,52.5,67.5,83.5,0.131,0.077,cw,-0.01,3.459,5.38,4.757
S07,T03,Young,24,157.5,71.75,F,R,0.84,11.0,S,Treadmill,0.0,5.5,29.5,52.5,67.5,85.5,0.142,0.102,cw,0.066,2.189,5.368,5.28
S07,T04,Young,24,157.5,71.75,F,R,0.84,11.0,S,Treadmill,0.0,6.0,30.5,51.0,67.0,86.0,0.183,0.037,ccw,0.16,2.998,9.568,4.618
S07,T05,Young,24,157.5,71.75,F,R,0.84,11.0,C,Treadmill,0.0,6.0,30.5,50.0,66.5,86.0,0.147,0.038,ccw,0.227,3.028,10.89,4.186
S07,T06,Young,24,157.5,71.75,F,R,0.84,11.0,F,Treadmill,0.0,6.5,31.5,50.0,65.5,86.0,0.18,0.076,ccw,0.072,3.009,11.902,4.634
S07,T07,Young,24,157.5,71.75,F,R,0.84,11.0,F,Treadmill,0.0,5.5,29.5,48.0,64.0,84.5,0.046,0.043,cw,0.632,1.827,10.182,2.596
S07,T08,Young,24,157.5,71.75,F,R,0.84,11.0,VF,Treadmill,0.0,1.0,30.5,49.0,64.5,85.0,0.161,0.163,ccw,0.003,3.215,16.601,4.5
S08,OC,Young,36,182.5,64.0,M,R,0.97,12.0,C,Overground,0.0,6.5,19.5,48.0,64.0,84.5,0.168,0.133,ccw,1.623,1.365,6.625,3.73
S08,OF,Young,36,182.5,64.0,M,R,0.97,12.0,F,Overground,0.0,6.5,30.5,46.0,64.5,85.0,0.153,0.306,ccw,2.027,2.46,9.17,3.671
S08,OS,Young,36,182.5,64.0,M,R,0.97,12.0,S,Overground,0.0,6.5,22.5,51.0,67.0,85.5,0.179,0.028,ccw,0.986,1.54,5.658,3.33
S08,T01,Young,36,182.5,64.0,M,R,0.97,12.0,VS,Treadmill,0.0,4.5,18.5,54.0,70.0,84.5,0.128,0.075,cw,-0.225,2.297,4.006,3.546
S08,T02,Young,36,182.5,64.0,M,R,0.97,12.0,VS,Treadmill,0.0,5.5,31.0,52.5,67.5,84.0,0.175,0.063,cw,-0.125,2.546,5.568,3.876
S08,T03,Young,36,182.5,64.0,M,R,0.97,12.0,S,Treadmill,0.0,6.0,31.5,51.0,66.0,84.0,0.215,0.03,cw,0.03,2.697,6.393,3.811
S08,T04,Young,36,182.5,64.0,M,R,0.97,12.0,S,Treadmill,0.0,6.5,24.5,49.0,65.0,85.0,0.238,0.049,ccw,0.021,2.475,7.433,3.913
S08,T05,Young,36,182.5,64.0,M,R,0.97,12.0,C,Treadmill,0.0,6.5,30.5,48.0,65.0,87.0,0.225,0.099,ccw,0.242,2.791,8.405,3.623
S08,T06,Young,36,182.5,64.0,M,R,0.97,12.0,F,Treadmill,0.0,6.5,29.5,47.0,64.0,86.0,0.215,0.179,ccw,0.424,2.678,10.148,3.887
S08,T07,Young,36,182.5,64.0,M,R,0.97,12.0,F,Treadmill,0.0,5.5,29.5,45.5,62.0,84.5,0.175,0.245,ccw,0.656,2.338,13.942,4.345
S08,T08,Young,36,182.5,64.0,M,R,0.97,12.0,VF,Treadmill,0.0,5.5,30.5,45.5,61.5,84.0,0.129,0.263,ccw,0.951,1.868,21.925,4.225
S09,OC,Young,25,169.1,61.25,F,R,0.785833333333332,9.0,C,Overground,0.0,6.0,24.5,45.5,64.0,84.0,0.109,0.181,ccw,1.921,2.653,8.326,3.138
S09,OF,Young,25,169.1,61.25,F,R,0.787083333333332,9.0,F,Overground,0.0,6.5,27.0,43.0,62.0,85.5,0.06,0.277,ccw,1.996,3.207,17.74,3.406
S09,OS,Young,25,169.1,61.25,F,R,0.788333333333332,9.0,S,Overground,0.0,6.5,21.5,48.0,65.5,83.5,0.145,0.068,ccw,1.353,2.31,5.102,3.253
S09,T01,Young,25,169.1,61.25,F,R,0.785833333333332,9.0,VS,Treadmill,0.0,3.0,34.5,50.0,66.0,81.0,0.136,0.077,cw,-0.163,3.389,5.983,4.78
S09,T02,Young,25,169.1,61.25,F,R,0.787083333333332,9.0,VS,Treadmill,0.0,5.5,27.0,51.0,68.0,84.5,0.195,0.008,cw,0.052,2.304,5.822,3.553
S09,T03,Young,25,169.1,61.25,F,R,0.788333333333332,9.0,S,Treadmill,0.0,5.5,23.5,48.5,66.5,84.0,0.199,0.018,ccw,0.118,2.259,6.414,3.55
S09,T04,Young,25,169.1,61.25,F,R,0.785833333333332,9.0,S,Treadmill,0.0,5.0,25.0,46.5,66.0,84.5,0.148,0.071,ccw,0.115,2.273,7.788,3.395
S09,T05,Young,25,169.1,61.25,F,R,0.787083333333332,9.0,C,Treadmill,0.0,5.5,25.5,47.0,65.0,85.5,0.18,0.139,ccw,0.126,2.147,8.576,3.589
S09,T06,Young,25,169.1,61.25,F,R,0.788333333333332,9.0,F,Treadmill,0.0,6.0,27.5,45.5,65.0,86.5,0.151,0.195,ccw,0.26,2.017,11.529,3.261
S09,T07,Young,25,169.1,61.25,F,R,0.785833333333332,9.0,F,Treadmill,0.0,5.5,28.0,45.0,63.5,86.0,0.122,0.243,ccw,0.303,2.097,17.781,3.54
S09,T08,Young,25,169.1,61.25,F,R,0.787083333333332,9.0,VF,Treadmill,0.0,6.0,26.5,44.0,62.5,86.5,0.072,0.252,ccw,0.382,2.691,-0.039,3.836
S10,OC,Young,31,162.2,61.7,F,R,0.87,14.0,C,Overground,0.0,6.0,21.5,44.0,62.5,84.5,0.138,0.199,ccw,0.65,1.045,5.371,3.196
S10,OF,Young,31,162.2,61.7,F,R,0.87,14.0,F,Overground,0.0,6.0,26.5,42.5,61.0,84.0,0.1,0.329,ccw,1.028,0.863,8.605,3.597
S10,OS,Young,31,162.2,61.7,F,R,0.87,14.0,S,Overground,0.0,5.5,30.5,48.0,64.5,82.0,0.156,0.069,ccw,0.208,1.438,6.102,3.03
S10,T01,Young,31,162.2,61.7,F,R,0.87,14.0,VS,Treadmill,0.0,4.5,19.5,51.0,65.5,79.0,0.17,0.076,cw,-0.311,3.036,2.747,3.874
S10,T02,Young,31,162.2,61.7,F,R,0.87,14.0,VS,Treadmill,0.0,5.0,30.5,49.0,66.5,82.0,0.219,0.003,cw,-0.474,2.039,5.856,3.725
S10,T03,Young,31,162.2,61.7,F,R,0.87,14.0,S,Treadmill,0.0,5.5,31.5,47.5,65.5,83.0,0.21,0.037,ccw,-0.482,2.0,6.729,3.627
S10,T04,Young,31,162.2,61.7,F,R,0.87,14.0,S,Treadmill,0.0,6.0,26.0,47.0,65.0,85.5,0.192,0.121,ccw,-0.503,1.702,7.604,3.777
S10,T05,Young,31,162.2,61.7,F,R,0.87,14.0,C,Treadmill,0.0,5.0,27.5,44.0,62.5,84.0,0.11,0.026,ccw,-0.289,0.353,7.921,3.052
S10,T06,Young,31,162.2,61.7,F,R,0.87,14.0,F,Treadmill,0.0,6.0,28.0,44.5,62.5,84.0,0.174,0.178,ccw,-0.394,0.933,10.077,4.093
