,,Adults,Adults,Adults,Elderly,Elderly,Elderly,Female,Female,Female,Male,Male,Male,Overground,Overground,Overground,Treadmill,Treadmill,Treadmill
speed,,Slow,Free,Fast,Slow,Free,Fast,Slow,Free,Fast,Slow,Free,Fast,Slow,Free,Fast,Slow,Free,Fast
,N,24.0,23.0,23.0,17.0,18.0,17.0,35.0,36.0,34.0,47.0,47.0,43.0,41.0,41.0,40.0,41.0,42.0,37.0
point 1,Mean,5.73,5.87,6.3,5.18,5.75,6.26,5.74,6.12,6.4,5.02,5.69,6.17,5.5,5.82,6.29,5.16,5.94,6.26
point 1,SD,1.22,1.04,1.19,1.13,0.88,1.23,0.56,0.66,0.76,1.41,1.2,1.23,1.2,0.96,1.19,1.15,1.08,0.88
point 1,95% CI min,5.22,5.42,5.79,4.59,5.31,5.63,5.55,5.9,6.13,4.61,5.34,5.8,5.12,5.51,5.91,4.8,5.6,5.96
point 1,95% CI max,6.24,6.32,6.82,5.76,6.19,6.9,5.94,6.35,6.66,5.44,6.04,6.55,5.88,6.12,6.67,5.52,6.28,6.55
point 2,Mean,27.44,26.89,28.04,28.94,27.72,28.29,29.5,28.49,28.15,28.61,27.47,28.45,28.06,27.26,28.15,29.91,28.55,28.5
point 2,SD,3.89,3.57,3.97,3.79,4.04,3.91,3.53,2.8,3.37,3.78,3.89,3.37,3.87,3.76,3.9,3.27,3.09,2.68
point 2,95% CI min,25.79,25.35,26.33,26.99,25.71,26.28,28.29,27.54,26.97,27.5,26.33,27.42,26.84,26.07,26.9,28.88,27.58,27.6
point 2,95% CI max,29.08,28.43,29.76,30.89,29.73,30.3,30.71,29.43,29.32,29.72,28.61,29.49,29.28,28.44,29.4,30.95,29.51,29.4
point 3,Mean,48.0,45.3,43.83,48.44,45.83,44.47,48.84,45.53,43.41,48.61,45.68,44.71,48.18,45.54,44.1,49.23,45.69,44.18
point 3,SD,2.17,2.73,3.07,2.84,1.91,3.12,2.2,2.38,3.48,2.64,3.3,2.32,2.45,2.39,3.07,2.37,3.39,2.84
point 3,95% CI min,47.08,44.12,42.5,46.98,44.88,42.87,48.09,44.72,42.2,47.83,44.71,44.0,47.41,44.78,43.12,48.48,44.63,43.23
point 3,95% CI max,48.92,46.48,45.15,49.9,46.78,46.07,49.6,46.33,44.63,49.38,46.65,45.42,48.96,46.29,45.08,49.98,46.75,45.12
point 4,Mean,66.31,64.28,62.93,65.68,64.61,63.26,66.47,64.68,62.96,66.34,64.47,63.33,66.05,64.43,63.08,66.74,64.69,63.26
point 4,SD,2.22,1.97,1.52,1.98,1.47,1.51,1.81,1.34,1.54,1.94,2.83,1.24,2.12,1.76,1.5,1.55,2.73,1.26
point 4,95% CI min,65.37,63.43,62.28,64.66,63.88,62.49,65.85,64.23,62.42,65.77,63.64,62.94,65.38,63.87,62.59,66.25,63.84,62.84
point 4,95% CI max,67.25,65.13,63.59,66.69,65.34,64.04,67.09,65.13,63.49,66.91,65.3,63.71,66.72,64.98,63.56,67.23,65.54,63.68
point 5,Mean,83.42,84.22,83.93,83.29,84.83,85.38,84.03,85.31,85.19,83.99,85.09,84.79,83.37,84.49,84.55,84.65,85.86,85.42
point 5,SD,2.68,2.52,1.81,2.02,1.93,2.58,1.87,2.28,2.45,2.69,2.73,2.07,2.4,2.27,2.26,2.17,2.62,2.16
point 5,95% CI min,82.28,83.13,83.15,82.25,83.88,84.05,83.38,84.53,84.34,83.2,84.28,84.15,82.61,83.77,83.83,83.96,85.04,84.7
point 5,95% CI max,84.55,85.31,84.72,84.33,85.79,86.71,84.67,86.08,86.05,84.78,85.89,85.43,84.12,85.2,85.27,85.33,86.67,86.14
work abs,Mean,0.13,0.11,0.08,0.12,0.1,0.08,0.15,0.12,0.09,0.13,0.12,0.1,0.13,0.11,0.08,0.15,0.14,0.1
work abs,SD,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.04,0.05,0.04,0.04,0.04,0.03,0.03,0.04,0.04,0.04,0.05
work abs,95% CI min,0.12,0.1,0.07,0.11,0.08,0.06,0.13,0.11,0.07,0.12,0.11,0.08,0.12,0.1,0.07,0.14,0.13,0.09
work abs,95% CI max,0.15,0.13,0.1,0.13,0.12,0.1,0.16,0.13,0.1,0.14,0.14,0.11,0.14,0.12,0.09,0.16,0.15,0.12
work prod,Mean,0.06,0.15,0.24,0.06,0.13,0.21,0.06,0.13,0.22,0.05,0.12,0.21,0.06,0.14,0.23,0.05,0.11,0.2
work prod,SD,0.04,0.06,0.08,0.03,0.05,0.07,0.04,0.07,0.09,0.03,0.07,0.09,0.03,0.06,0.07,0.04,0.08,0.1
work prod,95% CI min,0.05,0.13,0.21,0.04,0.1,0.17,0.05,0.11,0.19,0.04,0.1,0.18,0.05,0.12,0.2,0.03,0.08,0.17
work prod,95% CI max,0.08,0.18,0.27,0.07,0.15,0.24,0.07,0.16,0.25,0.06,0.14,0.24,0.07,0.16,0.25,0.06,0.13,0.23
CP,Mean,0.84,1.29,1.65,0.79,1.16,1.43,0.21,0.43,0.67,0.36,0.64,0.94,0.82,1.23,1.55,-0.22,-0.12,0.02
CP,SD,0.44,0.57,0.64,0.35,0.46,0.53,0.53,0.74,0.89,0.72,0.85,0.96,0.4,0.52,0.6,0.37,0.35,0.44
CP,95% CI min,0.65,1.04,1.37,0.61,0.93,1.15,0.02,0.18,0.36,0.15,0.39,0.64,0.69,1.07,1.36,-0.34,-0.23,-0.12
CP,95% CI max,1.02,1.53,1.92,0.97,1.38,1.7,0.39,0.68,0.98,0.57,0.89,1.23,0.94,1.39,1.74,-0.11,-0.01,0.17
DP,Mean,3.54,3.48,3.67,3.61,3.67,3.7,3.59,3.51,3.62,4.22,4.41,4.21,3.57,3.56,3.68,4.34,4.47,4.24
DP,SD,0.87,0.69,0.8,0.76,0.7,0.85,0.89,0.71,0.85,1.05,2.14,0.95,0.82,0.69,0.81,1.09,2.26,1.01
DP,95% CI min,3.17,3.18,3.32,3.22,3.32,3.27,3.28,3.27,3.32,3.91,3.78,3.92,3.31,3.34,3.42,3.99,3.77,3.9
DP,95% CI max,3.91,3.77,4.01,4.0,4.01,4.14,3.9,3.75,3.92,4.53,5.04,4.5,3.83,3.78,3.94,4.68,5.18,4.58
ERP,Mean,2.11,2.32,2.68,1.96,2.33,2.14,2.06,2.13,2.05,2.67,2.79,2.73,2.05,2.32,2.45,2.77,2.68,2.41
ERP,SD,0.74,0.77,1.19,0.6,0.84,0.82,0.62,0.92,0.92,0.96,0.96,1.0,0.68,0.79,1.07,0.93,1.14,0.97
ERP,95% CI min,1.8,1.99,2.17,1.65,1.91,1.72,1.84,1.82,1.73,2.39,2.51,2.43,1.83,2.08,2.11,2.48,2.33,2.09
ERP,95% CI max,2.42,2.65,3.19,2.26,2.74,2.57,2.27,2.45,2.37,2.96,3.07,3.04,2.26,2.57,2.79,3.06,3.04,2.73
LRP,Mean,6.99,8.58,8.91,7.45,6.6,7.09,7.1,8.02,7.32,7.11,7.96,6.69,7.18,7.72,8.14,7.03,8.25,5.7
LRP,SD,1.7,1.69,5.94,1.58,4.0,10.0,2.06,3.56,9.18,2.75,4.4,8.21,1.65,3.06,7.86,3.09,4.82,9.27
LRP,95% CI min,6.27,7.85,6.34,6.63,4.62,1.94,6.39,6.81,4.12,6.31,6.67,4.16,6.66,6.75,5.62,6.06,6.75,2.61
LRP,95% CI max,7.71,9.32,11.48,8.26,8.59,12.23,7.81,9.23,10.52,7.92,9.25,9.21,7.7,8.68,10.65,8.01,9.76,8.79
